,host_listings_count,longitude,beds,host_neighbourhood_is_na,summary_is_na,license_is_na,property_type_other,"host_verifications_['email', 'phone']",room_type_Private room,price
310,1.0,13.461124340330288,1.0,False,False,True,0,0,1,24.0
311,4.0,13.345565504594285,1.0,False,False,True,0,0,0,89.0
312,2.0,13.426616962879141,1.0,False,False,True,0,0,1,40.0
313,4.0,13.415950719937944,3.0,False,False,True,0,0,0,96.0
314,1.0,13.429501480804804,1.0,True,False,True,0,0,0,80.0
315,12.0,13.411840445015356,1.0,False,False,True,1,0,1,80.0
316,1.0,13.416191494629874,5.0,False,False,True,0,0,0,130.0
317,1.0,13.423088799366909,1.0,True,False,True,0,0,1,25.0
318,1.0,13.454359017830145,2.0,True,False,True,0,0,0,60.0
319,1.0,13.351059082359555,1.0,False,False,True,0,0,1,60.0
320,2.0,13.347969076543475,2.0,True,False,True,0,0,1,23.0
321,1.0,13.41016008753779,1.0,False,False,True,0,0,0,34.0
322,1.0,13.447513931820273,1.0,False,False,True,0,0,0,50.0
323,1.0,13.360013780176216,2.0,False,False,True,0,0,1,45.0
324,1.0,13.443069534571727,1.0,True,False,True,0,0,1,35.0
325,2.0,13.508695538893154,1.0,False,False,True,0,0,0,39.0
326,1.0,13.381790255290479,2.0,False,False,True,0,0,0,70.0
327,1.0,13.387955813148984,1.0,False,False,True,0,0,1,15.0
328,11.0,13.325202139411259,2.0,False,False,True,0,0,0,135.0
329,1.0,13.4537634664947,1.0,False,False,True,0,0,1,40.0
330,1.0,13.377364481750677,1.0,True,False,False,0,0,0,65.0
331,1.0,13.413377731194627,2.0,False,False,True,0,0,0,80.0
332,1.0,13.435161540832475,1.0,False,False,True,0,0,0,100.0
333,1.0,13.377749090805947,1.0,False,False,True,0,0,1,50.0
334,1.0,13.639035543658306,8.0,False,False,True,0,0,0,95.0
335,2.0,13.492838789775805,1.0,False,False,True,0,0,1,27.0
336,6.0,13.340073930529435,1.0,False,False,True,0,0,0,55.0
337,1.0,13.439385462607335,1.0,False,False,True,0,0,1,30.0
338,1.0,13.404570570512847,2.0,False,False,True,0,0,1,75.0
339,3.0,13.381785642603125,1.0,False,False,True,0,0,0,33.0
340,1.0,13.440157525287075,3.0,False,False,True,0,0,0,30.0
341,1.0,13.426162947221403,2.0,False,False,True,0,0,0,110.0
342,1.0,13.321460845396832,1.0,True,False,True,0,0,1,35.0
343,1.0,13.439764397825403,1.0,False,False,True,0,0,0,40.0
344,1.0,13.402233045981092,1.0,False,False,True,0,0,0,89.0
345,1.0,13.362812227672649,1.0,False,False,True,0,0,0,40.0
346,1.0,13.395074326333425,1.0,False,False,True,0,0,1,32.0
347,1.0,13.415123550194366,1.0,False,False,True,0,0,0,250.0
348,1.0,13.415923973047052,1.0,False,False,True,0,0,0,35.0
349,1.0,13.429790127737672,1.0,False,True,True,0,0,1,29.0
350,1.0,13.315367892421653,1.0,False,False,True,0,0,0,40.0
351,2.0,13.431899962994494,2.0,False,False,True,0,0,0,89.0
352,15.0,13.280513312848624,1.0,False,False,True,0,0,0,75.0
353,1.0,13.441712256289385,2.0,True,False,True,0,0,0,50.0
354,1.0,13.410240072168158,1.0,False,False,True,0,0,0,65.0
355,1.0,13.454643948387911,1.0,True,False,True,0,0,0,62.0
356,1.0,13.44123557852324,1.0,False,False,True,0,0,1,25.0
357,1.0,13.425452159668202,2.0,False,False,False,0,0,0,86.0
358,2.0,13.408416672723794,1.0,False,False,True,0,0,1,39.0
359,2.0,13.439783233460536,1.0,False,False,True,0,0,1,30.0
360,2.0,13.40275638169988,1.0,False,False,True,0,0,1,85.0
361,1.0,13.379975022805176,2.0,False,False,True,0,0,1,30.0
362,1.0,13.424699727501814,2.0,True,False,True,0,0,0,70.0
363,1.0,13.404945147685282,2.0,False,False,True,0,0,0,102.0
364,1.0,13.423795359884885,1.0,False,False,True,0,0,1,30.0
365,2.0,13.448029392391241,3.0,False,False,True,0,0,0,72.0
366,1.0,13.34904975977079,2.0,False,False,True,0,0,0,45.0
367,1.0,13.46675858505675,1.0,False,False,True,0,0,1,25.0
368,2.0,13.406897218951032,1.0,False,True,True,0,0,1,45.0
369,1.0,13.442198806709822,1.0,True,False,True,0,0,0,59.0
370,1.0,13.394155683367549,1.0,True,False,True,0,1,0,80.0
371,1.0,13.41928153310389,1.0,False,False,True,0,0,0,45.0
372,1.0,13.443587435308453,2.0,False,False,True,0,0,0,75.0
373,1.0,13.479262345137439,1.0,False,False,True,0,0,1,40.0
374,1.0,13.450086136873127,2.0,False,False,True,0,0,0,47.0
375,1.0,13.439955617229693,1.0,False,False,True,0,0,1,30.0
376,2.0,13.397134709757774,3.0,False,False,True,0,0,1,100.0
377,1.0,13.419368129567768,2.0,False,False,True,0,1,0,140.0
378,1.0,13.430393252863231,1.0,False,False,True,0,0,1,27.0
379,1.0,13.428484838462989,1.0,False,False,True,0,0,1,20.0
380,1.0,13.437785816248136,3.0,False,False,True,0,0,0,198.0
381,1.0,13.303790547482285,2.0,False,False,True,0,0,1,22.0
382,3.0,13.432857890361724,1.0,False,False,True,0,1,0,80.0
383,1.0,13.386409766836207,2.0,False,False,True,0,0,0,60.0
384,1.0,13.554480615436098,1.0,True,False,True,0,0,1,18.0
385,1.0,13.342076164486235,1.0,False,False,True,0,0,1,25.0
386,1.0,13.363410611450114,1.0,False,False,True,0,0,1,25.0
387,2.0,13.377278584694126,1.0,False,False,True,0,0,1,18.0
388,1.0,13.43714941833164,1.0,False,False,True,0,0,1,35.0
389,1.0,13.448396791676293,1.0,False,True,True,0,1,1,50.0
390,1.0,13.622981858284364,2.0,False,False,True,1,0,0,37.0
391,2.0,13.450566217465207,1.0,False,False,True,0,0,1,35.0
392,1.0,13.452684423155516,2.0,False,False,True,0,0,0,85.0
393,9.0,13.357107312048413,1.0,False,False,False,0,0,0,32.0
394,2.0,13.36688096982174,2.0,False,False,True,0,1,1,35.0
395,2.0,13.33550665240921,2.0,False,False,True,0,0,1,32.0
396,3.0,13.419080629850624,2.0,False,False,True,0,0,0,89.0
397,2.0,13.67594812497962,1.0,True,False,True,0,0,1,25.0
398,1.0,13.42990995516698,1.0,False,False,True,0,1,1,23.0
399,1.0,13.412551240967831,2.0,False,False,True,0,0,0,35.0
